年级	书名	学科	册别	学段	出版社	版本	def_page_index	内容起始页	ISBN	价格	页数
必修1	语文必修1	语文	全一册	高中	江苏教育出版社	08版	2	14	978-7-5343-5859-3	3.05	116
必修1	数学必修1（2012年印刷）	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-5865-4	7.07	130
必修1	化学必修1	化学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-5885-2	8.7	126
必修1	物理必修1	物理	全一册	高中	教育科学出版社	08版	2	14	978-7-5041-3108-9	8.18	120
必修1	通用技术必修1	通用技术	全一册	高中	江苏教育出版社	08版	2	10	0	0	182
必修2	生物必修2（遗传与进化）	生物	全一册	高中	江苏教育出版社	08版	2	12	0	0	132
必修2	数学必修2	数学	全一册	高中	江苏教育出版社	08版	2	10	0	0	130
必修2	技术与设计2（通用技术必修2）	技术与设计	全一册	高中	江苏教育出版社	08版	2	10	0	0	136
必修2	语文必修2	语文	全一册	高中	江苏教育出版社	08版	2	14	978-7-5343-5860-9	4.24	176
必修2	数学必修2（2012年印刷）	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-5866-1	7.87	146
必修2	化学必修2	化学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6007-7	8.52	122
必修2	物理必修2	物理	全一册	高中	教育科学出版社	08版	2	10	978-7-5041-3109-6	7.39	106
必修2	通用技术必修2	通用技术	全一册	高中	江苏教育出版社	08版	2	10	0	0	138
必修2	生物必修2全一册(2014版)	生物	全一册	高中	江苏教育出版社	08版	2	10	0	0	148
必修3	生物必修3（稳态与环境）	生物	全一册	高中	江苏教育出版社	08版	2	12	0	0	130
必修3	数学必修3	数学	全一册	高中	江苏教育出版社	08版	2	10	0	0	126
必修3	语文必修3	语文	全一册	高中	江苏教育出版社	08版	2	14	978-7-5343-6169-2	3.29	128
必修3	数学必修3（2012年印刷）	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6222-4	7.67	142
必修3	高中语文必修3（2014秋）	语文	全一册	高中	江苏教育出版社	08版	2	12	978-7-5343-6169-2	0	110
必修3	高中数学必修3（2014秋）	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6222-4	0	142
必修4	数学必修4	数学	全一册	高中	江苏教育出版社	08版	2	10	0	0	130
必修4	语文必修4	语文	全一册	高中	江苏教育出版社	08版	2	14	978-7-5343-6168-5	3.37	132
必修4	数学必修4（2012年印刷)	数学	全一册	高中	江苏教育出版社	08版	2	10	978-7-5343-6225-5	8.07	150
